Category Type,Category,Item Name,Status,Lives in Trailer,Checked,Packed,Taking,Last Updated
TRAILER,"Kitchen","Black bags",Low,Yes,N/A,N/A,N/A,2929
TRAILER,"Kitchen","Glad wrap",Low,Yes,N/A,N/A,N/A,2929
TRAILER,"Kitchen","Lappies",Low,Yes,N/A,N/A,N/A,2940
TRAILER,"Kitchen","Paper Plates",Low,Yes,N/A,N/A,N/A,2940
TRAILER,"Kitchen","Roller towel",Unknown,Yes,N/A,N/A,N/A,2950
TRAILER,"Kitchen","Serviettes",OK,Yes,N/A,N/A,N/A,2951
TRAILER,"Kitchen","Sponges",Low,Yes,N/A,N/A,N/A,2951
TRAILER,"Kitchen","Sunlight",Low,Yes,N/A,N/A,N/A,2961
TRAILER,"Kitchen","Tin foil",Unknown,Yes,N/A,N/A,N/A,2962
TRAILER,"Kitchen","Wet wipes",OK,Yes,N/A,N/A,N/A,2972
TRAILER,"Kitchen","Ziploc bags",OK,Yes,N/A,N/A,N/A,2972
TRAILER,"Non-Perishables","Bouquet Garni",Unknown,Yes,N/A,N/A,N/A,2983
TRAILER,"Non-Perishables","Coffee (instant)",OK,Yes,N/A,N/A,N/A,2984
TRAILER,"Non-Perishables","Cooking Oil",Unknown,Yes,N/A,N/A,N/A,2994
TRAILER,"Non-Perishables","Filter Coffee",Unknown,Yes,N/A,N/A,N/A,2995
TRAILER,"Non-Perishables","Hot Chocolate",Unknown,Yes,N/A,N/A,N/A,3006
TRAILER,"Non-Perishables","Lemon Juice",Unknown,No,N/A,N/A,N/A,3006
TRAILER,"Non-Perishables","Marshmallows",Unknown,Yes,N/A,N/A,N/A,3016
TRAILER,"Non-Perishables","Mixed herbs/Bay Leaves",Out,Yes,N/A,N/A,N/A,3017
TRAILER,"Non-Perishables","Normal Tea",OK,Yes,N/A,N/A,N/A,3027
TRAILER,"Non-Perishables","Peanut butter",Unknown,Yes,N/A,N/A,N/A,3028
TRAILER,"Non-Perishables","Pepper",OK,Yes,N/A,N/A,N/A,3038
TRAILER,"Non-Perishables","Rooibos Tea",OK,Yes,N/A,N/A,N/A,3039
TRAILER,"Non-Perishables","Salt",OK,Yes,N/A,N/A,N/A,3049
TRAILER,"Non-Perishables","Sugar (sachets)",OK,Yes,N/A,N/A,N/A,3049
TRAILER,"Non-Perishables","Tomato Sauce",Unknown,Yes,N/A,N/A,N/A,3060
TRAILER,"General","Batteries",OK,Yes,N/A,N/A,N/A,3060
TRAILER,"General","Citronella Candles",Low,Yes,N/A,N/A,N/A,3071
TRAILER,"General","Duct Tape",OK,Yes,N/A,N/A,N/A,3071
TRAILER,"General","Gas Bottle",Unknown,Yes,N/A,N/A,N/A,3072
TRAILER,"General","Gas lighter refill",Low,Yes,N/A,N/A,N/A,3082
TRAILER,"General","Glow Sticks",Unknown,Yes,N/A,N/A,N/A,3083
TRAILER,"General","Matches",Low,Yes,N/A,N/A,N/A,3093
TRAILER,"General","Mystical Fire Sachets",OK,Yes,N/A,N/A,N/A,3094
TRAILER,"General","Zip Ties",OK,Yes,N/A,N/A,N/A,3104
ESSENTIALS,"Trailer Systems","EcoFlow",OK,Yes,Yes,Yes,Yes,3105
ESSENTIALS,"Trailer Systems","Hose to extend tap",OK,Yes,Yes,Yes,Yes,3105
ESSENTIALS,"Trailer Systems","Solar panel extension",OK,Yes,Yes,Yes,Yes,3105
ESSENTIALS,"Trailer Systems","Stand for Kitchen",OK,Yes,Yes,Yes,Yes,3106
ESSENTIALS,"Kitchen Basics","Braai bak",OK,Yes,No,No,Yes,3106
